,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
1,11,153,6200,4,2017.0,50071,82.0,5,1,881,6,True,42
2,22,767,7851,0,2016.0,103000,100.0,4,1,881,10,True,7
3,69,199,19426,0,2014.0,120000,140.0,4,1,881,9,True,33
4,22,766,22850,0,2017.0,107000,130.0,2,1,881,4,True,39
5,51,33,11490,4,2016.0,78665,130.0,5,1,881,32,True,29
6,36,293,28500,0,2017.0,36238,150.0,5,0,881,47,True,6
7,24,212,8200,0,2012.0,203000,150.0,5,1,881,15,False,7
8,11,139,12100,4,2018.0,45000,110.0,5,1,295,6,False,2
9,49,531,6300,4,2016.0,77000,80.0,5,1,881,6,False,7
10,11,139,13900,0,2017.0,81000,100.0,5,1,1577,21,True,31
12,69,577,1300,4,2001.0,217000,75.0,3,1,295,1,False,7
13,44,216,6900,4,2001.0,169450,306.0,2,0,1577,13,True,32
14,21,561,9500,0,2017.0,101623,95.0,5,1,89,22,True,29
15,60,549,13990,4,2019.0,7591,115.0,5,1,1577,10,True,29
17,11,149,4990,4,2014.0,80000,115.0,4,1,1577,9,True,25
20,21,294,8000,0,2010.0,135000,120.0,5,1,1540,9,False,33
21,22,151,12700,4,2018.0,53000,125.0,5,1,1577,14,True,2
22,11,155,12490,4,2019.0,13000,68.0,5,1,2592,7,True,18
24,7,687,28900,0,2020.0,5000,116.0,5,0,1678,4,True,7
25,50,121,8490,0,2014.0,139990,130.0,5,1,1577,33,True,29
26,4,88,5000,0,2006.0,222500,140.0,5,1,1577,6,False,7
27,70,819,10890,0,2009.0,214650,175.0,5,0,881,36,True,7
28,47,98,15300,0,2016.0,67602,114.0,5,1,1577,12,True,29
29,22,341,12790,4,2018.0,29000,125.0,5,1,1577,0,True,29
30,21,61,12800,0,2016.0,60029,120.0,5,1,3062,14,True,32
31,7,691,10000,0,2009.0,162000,177.0,2,0,881,25,True,29
32,22,647,29300,0,2019.0,11936,150.0,5,0,2592,30,True,28
33,55,198,14650,4,2019.0,14000,90.0,5,1,881,10,True,29
34,59,417,11400,4,2017.0,28000,110.0,5,0,2592,6,False,7
36,7,693,18900,0,2014.0,99800,190.0,4,0,295,29,True,4
37,51,65,37000,6,2020.0,1200,225.0,5,0,1107,22,True,36
38,51,40,6750,0,2015.0,215000,120.0,5,0,2592,9,True,16
39,33,822,32300,6,2021.0,2800,141.0,5,1,1464,6,True,31
40,50,423,9500,0,2016.0,101859,120.0,5,1,1288,21,True,29
41,69,377,11300,0,2016.0,77867,110.0,5,1,3488,26,True,7
42,55,239,9500,4,2018.0,43543,75.0,5,1,1577,22,True,7
43,51,1,4200,4,2007.0,118000,110.0,3,1,2592,13,True,6
44,51,643,26995,0,2021.0,1,130.0,5,1,1786,19,True,49
45,69,379,14900,0,2016.0,155000,115.0,5,1,1577,9,True,26
46,50,271,19150,4,2019.0,13871,81.0,5,1,1577,25,True,0
47,59,475,10500,0,2016.0,127000,110.0,5,1,881,27,True,9
49,59,475,26400,0,2020.0,50,150.0,5,0,2592,14,True,44
50,49,531,7900,4,2015.0,54200,80.0,5,1,881,2,False,36
52,44,214,13500,0,2014.0,104000,109.0,5,0,881,42,True,2
53,44,221,23900,0,2016.0,150276,194.0,4,0,2592,44,True,47
55,14,299,8399,4,2014.0,88056,125.0,5,1,881,24,True,39
56,55,530,10499,0,2017.0,47396,90.0,5,1,113,10,True,39
57,69,172,17890,0,2015.0,90000,140.0,4,0,881,19,True,8
59,44,237,44097,0,2019.0,24429,163.0,4,0,2872,27,True,29
60,55,239,10000,4,2008.0,180000,200.0,3,1,295,12,False,8
61,70,819,18990,0,2016.0,93000,150.0,5,1,881,19,True,47
62,14,299,8500,0,2014.0,202100,109.0,5,1,881,28,True,29
63,4,89,11900,0,2014.0,165999,120.0,5,1,2444,21,True,32
64,51,59,11900,0,2015.0,86686,120.0,5,1,2429,30,True,39
66,55,239,16190,4,2020.0,3239,100.0,5,1,2490,17,True,29
68,44,354,49900,0,2019.0,200,170.0,5,0,2105,31,True,5
69,7,813,25400,0,2017.0,36000,190.0,5,1,1577,24,True,27
70,50,258,13100,4,2019.0,4553,100.0,5,1,1519,30,True,7
71,69,377,17990,0,2013.0,159000,184.0,5,0,1788,27,True,29
72,26,868,8400,4,2012.0,107000,135.0,4,1,1577,14,True,50
73,7,866,15500,1,2016.0,49000,170.0,5,0,1375,28,True,29
74,22,335,9450,4,2018.0,37000,85.0,5,1,2131,33,True,45
75,51,51,800,4,1998.0,120000,135.0,4,1,3062,13,False,44
76,22,647,5500,0,2009.0,202000,140.0,5,1,1577,13,True,32
77,7,687,8499,0,2013.0,259000,116.0,5,1,881,12,True,29
78,7,688,48200,4,2017.0,8000,370.0,2,0,295,6,False,29
79,49,425,10990,0,2015.0,102100,110.0,5,1,1577,33,True,45
81,32,640,16200,4,2018.0,45168,120.0,5,1,3081,28,True,45
83,69,565,3400,0,2006.0,272000,140.0,4,1,1577,9,True,29
86,64,733,21200,4,2020.0,10,129.0,5,1,3273,12,True,24
87,50,116,7000,4,2009.0,119000,140.0,5,1,2592,5,False,6
88,21,295,4550,3,2013.0,114000,120.0,3,1,881,35,False,29
90,44,173,44600,0,2021.0,0,150.0,4,1,450,0,True,39
91,7,693,37200,0,2019.0,35760,190.0,4,0,243,4,True,29
92,55,530,5500,0,2012.0,300000,110.0,5,1,881,10,True,2
94,7,687,7480,0,2007.0,90000,177.0,3,1,823,9,True,7
95,11,160,12900,0,2018.0,52700,99.0,5,1,881,20,True,17
96,32,386,8999,0,2005.0,199000,218.0,5,0,295,30,True,29
97,59,118,19900,0,2019.0,17788,115.0,5,1,1383,22,True,16
98,59,417,4500,0,2007.0,86000,80.0,3,1,3062,14,True,4
99,36,293,60190,0,2019.0,0,150.0,5,0,881,10,True,2
100,44,354,89250,4,2021.0,1,390.0,5,0,742,29,True,45
102,32,640,20300,4,2020.0,1,120.0,5,1,2592,20,True,29
103,9,272,8500,4,2013.0,120000,124.0,5,1,1577,7,False,39
104,62,645,16490,0,2017.0,79900,178.0,5,1,2592,30,True,29
105,4,92,2000,0,2002.0,325000,130.0,5,1,2592,0,False,5
106,50,121,3500,4,2006.0,229193,170.0,3,1,3062,19,True,44
107,55,447,31600,0,2020.0,1,150.0,5,0,1345,12,True,29
108,0,58,16875,4,2019.0,12000,145.0,3,1,3197,22,True,7
109,44,213,32000,0,2020.0,20100,116.0,4,0,2772,13,True,29
110,50,802,20900,0,2018.0,61823,125.0,4,1,2444,16,True,2
111,69,377,10490,4,2006.0,148252,200.0,5,0,3062,36,True,39
112,7,693,16000,0,2011.0,91000,184.0,4,0,2592,9,False,23
113,11,155,17000,0,2020.0,5,102.0,5,1,1577,15,True,15
114,4,597,32900,0,2018.0,11700,150.0,5,0,3491,19,True,2
115,4,737,19500,0,2014.0,210000,184.0,3,1,881,12,True,2
116,7,811,22900,0,2017.0,70000,150.0,5,0,881,54,True,12
117,61,861,14500,1,2019.0,2000,82.0,3,0,3062,21,True,29
118,69,677,19500,0,2015.0,58000,150.0,3,1,881,6,False,18
120,31,700,6490,4,2005.0,260556,298.0,4,0,3421,23,True,29
122,69,752,17300,0,2014.0,91473,140.0,5,0,1593,37,True,33
123,44,230,14500,0,2007.0,175000,224.0,5,0,1577,12,False,2
124,4,88,7490,0,2012.0,220000,105.0,5,1,881,16,True,29
125,44,217,30000,0,2018.0,14000,136.0,5,1,295,11,False,29
126,50,121,21400,4,2019.0,1,145.0,5,1,295,6,True,7
128,44,219,4999,4,2002.0,160000,170.0,2,0,1577,1,True,2
130,50,843,5850,0,2008.0,159000,120.0,5,1,1577,9,True,51
131,4,88,17350,0,2016.0,57054,110.0,5,1,1294,21,True,41
132,55,514,3500,0,2007.0,140000,70.0,5,1,881,8,False,29
133,50,244,9900,0,2016.0,58000,120.0,5,0,881,10,True,17
134,50,423,8300,0,2016.0,173707,136.0,5,1,295,18,True,49
135,51,15,16800,0,2018.0,29000,120.0,5,1,1214,13,True,34
136,55,530,2800,0,2006.0,134000,130.0,5,1,1577,5,False,15
137,59,475,7900,0,2016.0,156980,115.0,5,1,881,20,True,4
138,14,299,8990,0,2014.0,119500,109.0,5,1,881,29,True,32
139,69,770,16999,0,2011.0,146000,102.0,4,1,271,8,True,15
140,51,40,10710,0,2016.0,87100,120.0,5,1,2333,15,True,49
143,51,65,35375,6,2020.0,1,225.0,5,0,1577,12,True,44
144,67,835,10900,4,2020.0,12750,69.0,5,1,881,20,True,7
146,33,644,7500,4,2015.0,100000,84.0,5,1,881,6,False,29
147,69,577,14900,4,2019.0,19420,95.0,5,1,135,10,True,17
149,51,59,33835,0,2021.0,1,130.0,5,1,1577,31,True,45
150,50,121,9750,4,2016.0,85000,125.0,5,1,881,8,False,33
151,4,596,21490,4,2017.0,79999,150.0,5,1,881,31,True,45
153,24,101,7650,0,2010.0,185700,150.0,5,1,1997,46,True,29
154,33,848,10900,0,2016.0,54327,90.0,5,1,1577,7,True,16
155,21,594,2700,0,2013.0,240000,95.0,5,1,823,4,False,7
156,21,755,12450,0,2018.0,41844,120.0,5,1,2444,48,True,45
158,7,687,8800,0,2009.0,219000,177.0,2,1,2592,9,False,45
159,69,577,5500,0,2009.0,107000,70.0,5,1,2592,12,True,31
160,69,759,16900,0,2017.0,88905,115.0,5,0,1850,30,True,31
161,70,655,3333,0,2002.0,400000,163.0,4,1,1577,10,False,24
162,11,165,21900,0,2018.0,13638,120.0,5,1,3062,21,True,7
164,7,693,8890,0,2006.0,210973,272.0,4,0,1577,22,True,2
165,44,214,15000,0,2013.0,47000,109.0,5,0,881,10,False,16
166,7,693,28900,0,2017.0,55962,190.0,4,1,243,20,True,51
167,69,191,10910,0,2016.0,80743,102.0,4,1,1041,14,True,29
168,22,341,2200,0,2006.0,280000,115.0,3,1,1577,17,True,45
169,59,475,13850,4,2019.0,74000,130.0,5,1,1205,26,True,45
171,4,603,59900,0,2018.0,40000,272.0,5,0,5,54,True,29
172,67,125,12500,5,2016.0,85000,136.0,5,0,1577,14,True,29
173,21,294,6750,0,2014.0,114563,90.0,5,1,1540,12,False,45
174,49,606,20300,0,2018.0,10000,130.0,5,1,295,11,True,39
175,9,130,5490,4,2009.0,121300,101.0,4,0,1577,30,True,2
176,7,691,16950,0,2015.0,85000,143.0,5,1,881,14,False,17
177,70,652,3900,0,2005.0,195000,109.0,4,1,295,8,True,29
179,59,417,2500,0,2007.0,206000,70.0,5,1,255,6,False,7
180,69,377,2900,4,2000.0,136000,105.0,3,1,1577,27,True,7
181,51,22,10600,0,2017.0,91616,75.0,5,1,1577,14,True,36
183,62,449,22800,4,2020.0,20,163.0,5,1,2592,16,True,26
184,69,677,18500,4,2017.0,70000,125.0,3,1,295,6,False,29
185,59,475,7290,4,2015.0,44000,110.0,5,1,295,8,True,25
186,26,672,5499,0,2008.0,159999,155.0,5,1,881,13,True,7
188,33,848,7900,0,2015.0,169000,90.0,5,1,881,28,True,0
189,69,377,15990,4,2018.0,82000,115.0,5,1,881,19,True,29
191,26,740,25750,0,2020.0,18,116.0,5,1,857,19,True,2
192,50,516,16900,4,2019.0,57000,140.0,5,1,881,29,True,32
193,69,377,15400,4,2017.0,65000,125.0,5,0,3062,6,True,32
194,24,212,2000,0,2007.0,220000,140.0,5,1,881,7,False,21
195,7,813,19800,0,2013.0,159000,177.0,5,1,823,6,False,4
196,7,693,23990,0,2013.0,109990,313.0,4,0,2592,41,True,45
197,54,80,410000,4,2019.0,150,510.0,2,1,1577,12,True,17
198,59,273,500,4,2005.0,159000,75.0,4,1,881,0,False,25
199,7,816,55490,0,2018.0,26391,258.0,5,0,1577,40,True,29
202,22,151,8500,0,2016.0,160000,120.0,5,1,1577,12,True,15
203,11,166,2950,4,2006.0,136377,125.0,5,1,3062,9,True,29
205,22,335,5900,0,2015.0,141000,95.0,5,1,881,14,False,29
206,64,733,3300,4,2008.0,123000,92.0,5,1,295,35,True,23
207,11,431,16499,0,2018.0,37000,115.0,4,1,881,12,True,32
209,11,167,26750,0,2021.0,0,131.0,5,1,1577,22,True,1
210,7,691,2500,0,2001.0,283400,136.0,4,1,2592,4,False,20
211,21,298,18750,0,2020.0,5,140.0,4,1,881,15,True,4
212,21,58,9500,4,2018.0,30000,69.0,3,1,881,14,True,7
214,4,85,11000,0,2011.0,90000,90.0,3,0,2592,54,True,10
215,67,125,11200,5,2014.0,84822,136.0,5,0,14,28,True,7
216,69,377,12500,0,2017.0,47000,110.0,5,1,1577,4,False,2
217,22,342,4700,0,2005.0,190000,109.0,5,1,2592,2,True,45
218,51,18,3900,0,2010.0,178000,70.0,5,1,3062,15,True,3
219,7,692,29100,0,2017.0,52550,190.0,2,0,2592,10,True,19
220,67,835,12500,5,2016.0,43987,100.0,5,0,3062,19,True,7
221,64,428,25900,4,2020.0,8200,102.0,3,1,881,5,False,4
222,54,80,117999,4,2020.0,5999,385.0,2,0,2592,17,True,17
223,49,606,20900,4,2019.0,12000,140.0,5,1,1577,20,True,36
224,55,239,8990,0,2017.0,127000,75.0,5,1,881,35,True,29
225,32,640,37500,6,2020.0,100,190.0,5,0,295,54,True,22
226,59,122,17900,0,2018.0,72000,115.0,5,1,881,33,True,43
228,51,41,650,4,1991.0,307000,94.0,5,1,3062,9,False,29
230,69,759,17299,0,2017.0,54478,115.0,5,0,1577,27,True,7
231,7,840,19950,4,2010.0,134000,204.0,2,1,295,25,False,24
233,50,399,21990,4,2020.0,10,130.0,5,1,881,15,True,47
234,44,218,10800,0,2008.0,84754,150.0,3,1,2600,33,True,33
235,21,298,10000,0,2014.0,340000,148.0,4,1,881,1,False,16
238,26,864,11100,4,2020.0,8984,75.0,5,1,3298,26,True,7
239,69,759,19500,0,2016.0,90000,150.0,5,1,1577,11,True,27
240,22,196,9500,4,1982.0,153000,101.0,2,1,881,12,False,33
241,51,64,25990,0,2019.0,22200,130.0,5,0,1577,54,True,46
242,7,811,19850,0,2016.0,72000,150.0,5,0,881,11,True,7
244,54,80,83000,4,2011.0,86000,500.0,2,0,1577,45,True,47
245,22,341,9000,0,2017.0,95000,120.0,5,1,881,8,True,39
246,70,779,19900,4,2018.0,25961,122.0,5,1,881,25,True,5
247,55,392,10900,0,2016.0,94000,110.0,5,1,881,22,True,45
248,51,142,21950,0,2017.0,99950,163.0,2,1,295,24,True,39
249,4,85,14400,0,2016.0,39611,90.0,3,1,881,8,True,7
251,26,867,19990,4,2019.0,20877,140.0,5,0,473,45,True,29
252,11,171,4800,0,2005.0,170780,109.0,5,0,3421,10,True,32
253,69,191,6600,0,2008.0,150000,75.0,4,1,881,9,True,49
255,55,442,5900,0,2015.0,140000,75.0,3,1,881,12,True,45
256,44,215,26900,0,2016.0,57000,170.0,5,0,295,27,True,7
258,7,690,16690,0,2016.0,128000,150.0,5,1,295,41,True,29
259,7,815,22500,0,2011.0,112752,245.0,5,0,887,34,True,10
260,7,687,15990,0,2016.0,84000,116.0,5,1,881,17,True,29
261,11,168,42461,6,2020.0,1,225.0,5,0,1577,4,True,41
262,50,271,19400,0,2020.0,7,102.0,5,1,1577,17,True,39
263,44,215,2490,0,1997.0,280000,150.0,5,0,3421,7,True,9
264,11,163,10660,4,2015.0,102143,130.0,5,1,2801,15,True,47
266,55,530,4600,0,2010.0,202492,90.0,5,1,2592,6,False,42
268,33,849,13000,4,2018.0,56000,120.0,5,1,881,5,False,36
269,7,690,17000,0,2017.0,117000,116.0,5,0,506,42,True,29
271,44,225,67500,0,2020.0,14382,245.0,5,0,2592,14,True,45
272,50,423,11560,0,2017.0,58000,120.0,5,1,1577,31,True,45
273,11,167,26100,0,2019.0,0,131.0,5,1,2592,10,True,29
274,4,89,25900,0,2017.0,54000,150.0,5,0,881,22,True,10
275,4,600,39900,0,2019.0,20000,163.0,5,0,2407,20,True,4
276,22,517,6500,0,2007.0,46173,130.0,5,1,1577,9,False,7
278,26,867,21700,4,2019.0,5400,140.0,5,1,1251,12,True,45
279,11,163,6000,0,2011.0,76214,150.0,5,0,881,35,True,5
280,55,436,17490,0,2017.0,37200,130.0,5,1,2917,27,True,29
282,69,377,15999,4,2011.0,163759,210.0,5,0,2592,35,True,18
283,4,89,6900,4,2006.0,139000,130.0,4,1,1577,38,True,37
284,49,558,9500,0,2015.0,27000,110.0,5,1,1577,9,False,7
285,22,151,16500,0,2019.0,16500,120.0,5,1,2592,12,True,29
286,21,294,10300,0,2017.0,69300,95.0,5,1,1540,17,True,31
289,67,150,20900,5,2017.0,85000,122.0,5,0,2592,4,False,29
290,21,60,12750,4,2019.0,25794,69.0,2,0,881,16,True,6
292,7,691,20990,0,2015.0,69000,190.0,5,1,2337,15,True,50
293,4,89,5500,0,2006.0,341000,140.0,5,1,295,8,True,37
294,7,693,3000,4,2001.0,220000,170.0,4,1,295,15,False,7
296,4,85,22900,4,2019.0,21000,116.0,5,1,2592,14,True,7
297,7,687,14250,0,2016.0,85000,116.0,5,1,881,11,True,39
298,11,166,10000,0,2011.0,104000,140.0,5,1,1577,28,True,7
299,46,263,9500,0,2011.0,155000,90.0,5,1,2412,17,True,29
300,44,217,22950,0,2017.0,103481,177.0,5,0,881,17,True,7
301,49,606,28088,4,2020.0,10,160.0,5,0,2938,30,True,29
302,7,687,24500,0,2019.0,13009,116.0,5,1,2637,13,True,34
303,47,556,37400,6,2019.0,30000,224.0,5,0,881,34,True,29
304,7,693,19900,0,2015.0,120000,190.0,4,0,295,21,True,31
305,49,558,11699,0,2017.0,27232,110.0,5,1,2592,15,True,7
306,70,788,39895,0,2020.0,7,190.0,5,0,2675,21,True,29
307,21,295,4537,0,2013.0,162000,90.0,3,1,881,24,True,29
308,44,215,26500,0,2016.0,59395,170.0,4,0,1577,15,True,7
309,59,475,11800,0,2016.0,128000,150.0,5,1,1577,13,True,12
310,49,425,14000,0,2015.0,50000,110.0,5,1,295,8,True,26
313,47,454,16990,0,2017.0,126000,154.0,4,1,881,31,True,47
314,69,577,8989,0,2013.0,84000,105.0,3,1,881,19,True,41
315,9,741,12900,4,2003.0,174927,285.0,4,0,823,37,True,29
316,69,702,13200,0,2012.0,189000,140.0,5,1,295,12,False,31
318,70,821,71900,4,2019.0,0,310.0,5,0,2173,5,True,6
319,4,89,6300,0,2006.0,227000,140.0,4,0,2592,10,False,1
320,49,425,13500,4,2018.0,5500,94.0,5,1,3062,21,True,32
321,51,20,3000,4,2007.0,173000,90.0,5,1,881,8,False,7
322,22,341,2200,0,2007.0,180000,115.0,5,1,2542,15,True,39
323,33,644,11899,4,2019.0,20450,84.0,5,1,3320,25,True,29
325,69,137,18900,0,2017.0,63000,150.0,2,1,3062,11,True,7
326,44,225,57900,6,2021.0,10,306.0,5,1,1959,30,True,32
327,22,349,3100,4,2012.0,100000,80.0,5,1,3062,11,False,29
328,50,244,8990,0,2017.0,120000,95.0,5,1,881,34,True,20
329,11,167,23700,4,2020.0,5,131.0,5,1,881,15,True,1
330,59,475,7490,0,2016.0,168000,110.0,5,1,881,32,True,29
331,7,811,26890,0,2017.0,37675,150.0,5,0,248,4,True,45
332,69,565,13900,0,2016.0,159000,120.0,4,1,2444,20,True,9
334,69,577,6900,0,2012.0,145000,90.0,5,1,813,11,True,41
335,69,577,15500,4,2020.0,1200,80.0,5,1,881,6,True,2
336,4,88,15490,0,2017.0,89000,116.0,3,1,1577,28,True,29
338,4,89,22000,0,2018.0,40000,150.0,4,0,881,5,False,7
339,4,88,42900,0,2020.0,50,150.0,5,0,881,16,True,32
340,33,848,9800,0,2016.0,169000,110.0,5,1,881,15,True,0
341,33,725,15495,4,2018.0,30000,120.0,5,1,1577,13,True,7
342,4,600,35200,0,2017.0,96300,190.0,5,0,1294,15,True,17
343,33,718,4500,4,2007.0,150000,142.0,5,1,2592,6,False,4
344,51,33,24800,4,2020.0,1,130.0,5,1,881,10,True,4
345,7,869,85490,6,2019.0,3000,374.0,2,0,1757,37,True,2
346,7,689,17500,0,2016.0,52823,150.0,5,0,1577,45,True,41
347,4,91,18700,0,2012.0,95000,143.0,5,1,881,7,False,6
348,26,864,12990,4,2020.0,2162,100.0,5,1,881,5,True,4
349,51,563,5500,0,2015.0,244769,75.0,5,1,881,21,True,29
350,50,121,2000,0,2013.0,124000,110.0,5,1,881,12,False,21
352,44,720,7500,0,2007.0,122700,88.0,2,1,1208,4,True,1
353,4,88,16200,0,2017.0,112000,116.0,5,1,2801,45,True,29
354,67,131,9990,4,2020.0,2961,72.0,5,1,1577,13,True,10
356,69,525,18990,0,2010.0,220000,140.0,4,1,2444,23,True,29
357,36,633,20000,0,2014.0,94000,150.0,5,1,881,8,False,33
359,26,411,17990,5,2018.0,19960,141.0,5,0,3024,14,True,23
360,21,594,2500,4,2007.0,160000,60.0,5,1,2592,28,True,4
361,11,160,2750,0,2011.0,215000,90.0,5,1,881,7,False,32
362,67,835,13190,5,2017.0,94957,100.0,5,0,1577,1,True,29
363,7,691,27500,4,2002.0,194948,343.0,2,0,1577,26,True,17
364,69,313,5400,0,2007.0,210000,140.0,2,1,1577,13,True,29
365,67,590,23200,0,2020.0,0,131.0,5,1,2119,23,True,7
366,69,577,3750,4,2004.0,160000,75.0,5,1,1577,11,True,34
368,11,155,4500,0,2012.0,180000,68.0,5,1,881,6,False,7
369,11,157,6980,4,2013.0,118117,95.0,5,1,3062,25,True,45
370,7,691,18999,0,2016.0,70977,190.0,4,0,1577,24,True,2
371,69,677,16000,4,2010.0,119423,210.0,3,1,881,10,False,17
372,7,693,29890,0,2015.0,108923,258.0,4,0,1577,54,True,31
373,33,644,10985,4,2019.0,14000,84.0,5,1,1577,22,True,25
374,14,479,4990,0,2007.0,191090,85.0,5,1,2592,21,True,44
375,11,155,16143,0,2020.0,2,99.0,5,1,881,18,True,29
376,7,692,23700,0,2014.0,131248,184.0,2,0,353,39,True,49
377,51,64,11000,0,2013.0,135000,115.0,5,0,1577,0,False,15
379,10,557,5999,4,2005.0,170000,143.0,2,0,1573,18,True,6
380,49,606,13990,0,2015.0,57852,110.0,5,1,881,14,False,5
381,43,184,14990,0,2013.0,68564,175.0,5,0,881,28,True,47
382,33,848,12000,4,2015.0,122000,120.0,5,1,2592,0,False,29
383,54,487,54900,0,2016.0,65000,258.0,5,0,4,54,True,29
384,59,417,5900,4,2010.0,80000,60.0,3,1,881,7,True,6
388,21,136,6000,4,2000.0,200000,130.0,2,1,2592,14,False,2
389,70,819,18485,0,2015.0,94995,136.0,5,0,2592,22,True,25
390,67,125,12300,5,2016.0,112133,136.0,5,0,295,17,True,39
391,50,423,8000,0,2010.0,190516,110.0,5,1,1577,9,False,29
392,50,515,12990,0,2016.0,36554,136.0,5,1,295,17,True,49
393,46,263,21900,4,2018.0,20000,102.0,5,1,295,9,True,7
394,46,484,14400,0,2016.0,28500,95.0,5,1,881,7,True,47
397,55,239,16490,4,2016.0,93983,200.0,5,0,2592,29,True,47
399,54,487,69900,4,2018.0,31131,360.0,5,0,2592,1,True,45
400,55,436,23500,0,2019.0,16394,115.0,5,1,295,12,True,10
401,44,214,26900,0,2019.0,17930,116.0,5,0,3252,19,True,45
403,11,162,13600,4,2019.0,22438,110.0,5,1,1577,14,True,7
404,49,425,11900,4,2018.0,89800,115.0,5,1,881,8,True,32
405,51,22,12900,4,2021.0,10,75.0,5,1,1366,9,True,45
407,11,155,1500,4,2003.0,190000,61.0,5,1,295,7,True,45
408,51,563,23500,1,2020.0,10,67.0,3,0,881,22,True,34
409,7,694,17500,4,2004.0,132000,333.0,2,1,881,18,False,7
410,45,841,700,4,2002.0,192500,103.0,3,1,1577,4,False,42
411,22,341,11990,0,2017.0,69999,120.0,5,0,1577,32,True,32
412,7,693,49900,0,2018.0,1000,231.0,4,0,617,54,True,2
413,4,89,16500,0,2016.0,99000,150.0,4,0,2727,54,True,44
414,55,317,17850,0,2017.0,99000,130.0,5,1,2444,38,True,45
415,70,819,33000,0,2019.0,39350,150.0,5,1,1061,18,True,12
416,69,377,21990,0,2014.0,117000,184.0,5,0,2592,22,True,36
417,4,89,7000,4,2005.0,189000,200.0,4,1,1577,11,False,33
418,4,89,23890,0,2016.0,92709,190.0,5,0,295,54,True,31
419,49,425,12000,4,2016.0,65000,115.0,5,1,1540,12,False,7
420,49,606,23600,0,2019.0,22136,115.0,5,0,3485,32,True,29
423,46,263,19600,4,2017.0,31125,102.0,5,1,801,29,True,47
425,44,219,7999,0,2007.0,180000,150.0,2,1,2592,10,True,47
426,50,423,16000,0,2018.0,62000,163.0,5,1,1577,13,False,20
427,55,461,4399,0,2009.0,118300,150.0,5,0,1577,6,True,29
428,55,198,18900,4,2019.0,5,150.0,5,1,659,17,True,37
429,22,647,13490,0,2011.0,138000,200.0,5,1,2592,45,True,36
432,70,655,35900,4,2019.0,18700,250.0,4,0,580,14,True,7
433,67,125,13500,0,2015.0,33000,124.0,5,1,881,7,False,27
434,11,155,14350,4,2020.0,5,83.0,5,1,881,14,True,1
436,7,687,12990,0,2014.0,131260,116.0,5,1,881,34,True,7
437,44,213,6900,0,2008.0,106000,109.0,5,0,823,24,True,3
439,55,198,16000,0,2019.0,31847,90.0,5,1,1864,0,True,29
440,4,93,37600,0,2018.0,60428,218.0,5,0,416,6,True,15
441,51,40,6800,4,2013.0,146246,120.0,5,1,2602,28,True,7
443,22,452,30800,0,2020.0,0,150.0,5,1,2027,11,True,29
444,4,88,2100,0,1998.0,450000,110.0,3,1,881,8,False,29
445,54,203,135900,4,2020.0,6800,460.0,5,0,881,1,True,7
446,70,779,13800,0,2016.0,120000,120.0,5,1,2592,10,True,9
448,21,594,4500,4,2013.0,79000,77.0,5,1,3062,0,False,25
449,7,814,29980,0,2015.0,89598,190.0,5,1,295,10,True,36
450,14,478,5998,0,2016.0,176000,90.0,5,1,881,9,True,29
451,44,353,39900,4,2020.0,70,163.0,5,0,295,27,True,25
452,59,475,5900,4,2007.0,230000,160.0,5,1,881,5,False,7
453,4,603,9900,0,2008.0,215000,240.0,5,0,1577,10,False,29
454,54,560,53900,4,2013.0,89000,440.0,5,0,881,54,True,29
455,51,22,13275,4,2020.0,1,75.0,5,1,255,28,True,10
456,14,297,7500,0,2016.0,51000,75.0,4,1,881,6,True,29
457,44,222,108300,4,2018.0,43000,571.0,5,0,2592,12,True,45
458,22,342,2000,0,2004.0,294000,109.0,5,1,295,16,False,17
459,4,89,18995,0,2015.0,80825,150.0,5,0,2592,23,True,39
460,60,549,16500,4,2019.0,15059,115.0,5,0,193,15,True,29
461,11,383,15900,0,2016.0,73500,150.0,5,1,1577,54,True,29
462,22,517,13000,0,2015.0,104000,150.0,5,0,3062,5,False,29
463,4,603,27999,0,2014.0,148000,204.0,5,0,2592,35,True,29
464,4,88,13000,0,2013.0,105700,105.0,3,1,3062,9,False,44
465,55,764,25890,0,2018.0,30000,145.0,5,1,823,34,True,29
466,22,517,4999,0,2010.0,177000,125.0,5,1,1577,17,True,49
467,55,198,13990,4,2018.0,82000,120.0,5,1,2974,12,True,21
468,70,652,4900,0,2009.0,287000,109.0,4,1,881,18,True,39
469,51,142,16600,0,2016.0,57000,130.0,4,1,255,9,True,7
470,51,17,2700,0,2004.0,213000,70.0,3,1,1540,6,False,41
471,21,58,6490,4,2010.0,48000,69.0,3,1,881,11,True,29
472,7,816,38900,0,2015.0,32567,245.0,5,0,128,38,True,31
475,4,89,18900,0,2015.0,90629,150.0,4,1,2592,18,True,16
476,69,191,12500,0,2012.0,92453,102.0,5,1,2444,14,True,33
478,69,377,16250,0,2014.0,34000,105.0,5,1,881,7,False,7
479,22,517,999,0,2000.0,257000,90.0,5,1,295,12,False,44
481,54,203,23500,4,2010.0,127990,405.0,5,0,881,42,True,29
482,55,680,23900,0,2019.0,5311,150.0,5,1,295,25,True,7
483,7,691,5000,4,2004.0,196000,231.0,2,1,295,5,False,10
484,50,802,15400,0,2018.0,116000,120.0,4,1,881,7,True,7
