,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
31754,11,430,11490,0,2014.0,190000,110.0,4,1,881,11,True,39
31755,69,377,8950,0,2011.0,90480,105.0,5,1,97,26,True,7
31756,44,214,11990,0,2012.0,145000,109.0,5,0,881,9,True,29
31757,11,431,16500,0,2017.0,112000,122.0,5,1,881,8,False,17
31760,24,101,8990,4,2011.0,155000,156.0,4,1,2592,18,True,7
31761,69,193,13500,0,1997.0,260000,78.0,4,1,295,6,False,33
31762,22,335,4950,0,2011.0,129950,70.0,5,1,881,24,True,45
31763,11,156,17500,4,2020.0,5,110.0,5,1,2311,8,True,7
31764,11,171,5000,4,2007.0,226000,143.0,5,1,2592,10,False,7
31765,22,335,1999,4,2006.0,150000,70.0,3,1,295,18,True,45
31767,69,172,15900,0,2015.0,106000,140.0,4,1,295,36,True,20
31768,59,475,8000,0,2013.0,82000,90.0,5,1,881,18,False,6
31769,4,623,42500,4,2014.0,95000,450.0,5,0,2592,25,True,7
31773,21,723,1700,0,2004.0,231000,115.0,3,1,2592,7,False,29
31774,69,565,15999,0,2013.0,101816,140.0,5,1,295,22,True,49
31775,43,504,11800,4,2013.0,105000,155.0,5,0,295,1,False,0
31776,33,718,15900,4,2016.0,56742,132.0,5,1,1591,32,True,47
31777,44,213,13990,0,2014.0,138769,109.0,5,0,1577,35,True,39
31778,38,412,9990,0,2009.0,150000,177.0,4,1,1264,18,True,29
31779,11,166,1200,0,2001.0,296000,110.0,5,1,1577,13,True,47
31780,33,644,2500,0,2006.0,150000,110.0,5,1,1540,8,True,18
31783,51,40,12750,0,2017.0,71339,100.0,5,1,881,8,True,39
31784,44,215,33000,0,2014.0,35000,170.0,4,0,1577,7,False,29
31785,51,142,21659,0,2020.0,119,120.0,4,1,881,14,True,29
31786,36,634,128900,4,2020.0,25000,575.0,5,0,881,49,True,7
31787,19,276,13400,0,2018.0,20133,99.0,3,1,2863,35,True,9
31788,22,335,1900,0,2003.0,167260,68.0,3,1,2592,8,False,2
31789,43,184,21790,0,2018.0,59900,150.0,5,1,881,15,True,29
31791,70,819,24900,0,2017.0,36000,181.0,5,1,881,12,False,29
31792,20,366,249900,4,2019.0,5900,610.0,3,0,881,11,True,7
