,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
43002,FORD,1000,Gasolina,2000.0,200000,130.0,3,Manual,Rojo,5,False,Asturias
43003,BMW,19900,Diésel,2014.0,85000,184.0,2,Automático,Azul,15,True,Madrid
43004,NISSAN,6990,Diésel,2010.0,170000,110.0,5,Manual,Gris / Plata,9,True,Álava
43005,HYUNDAI,30990,Eléctrico,2020.0,10000,136.0,5,Automático,Blanco,19,True,Madrid
43006,PEUGEOT,23990,Diésel,2017.0,51524,120.0,5,Manual,M6N9 Blanco Nacarado (3 capas),19,True,Madrid
43007,BMW,19990,Diésel,2017.0,48177,150.0,5,Manual,Blanco,21,True,Granada
43008,MINI,21900,Gasolina,2017.0,24000,136.0,3,Manual,Rojo,15,True,Barcelona
43009,JAGUAR,51900,Diésel,2020.0,250,180.0,5,Automático,Gris / Plata (CORRIS GREY),5,True,Cantabria
43010,HYUNDAI,21500,Gasolina,2019.0,0,120.0,5,Manual,Gris / Plata,4,True,Barcelona
43011,NISSAN,7400,Eléctrico,2015.0,22000,109.0,5,Automático,Blanco,18,False,Madrid
43012,PEUGEOT,2499,Diésel,2008.0,218000,90.0,5,Manual,Beige,9,True,Valencia
43013,VOLVO,22900,Gasolina,2015.0,95000,245.0,5,Automático,Blanco,5,False,Barcelona
43014,MAZDA,10800,Diésel,2013.0,92823,115.0,5,Manual,Negro (*ALI*),32,True,Córdoba
43015,LAND-ROVER,45900,Híbrido,2020.0,0,150.0,5,Automático,Gris / Plata,14,True,Murcia
43016,VOLKSWAGEN,27760,Gasolina,2020.0,0,150.0,5,Manual,Rojo,21,True,Toledo
43018,RENAULT,21400,Gasolina,2019.0,30611,140.0,5,Automático,Rojo (ROJO DESEO),33,True,Vizcaya
43019,KIA,20700,Diésel,2020.0,15,115.0,5,Manual,Rojo,9,True,Alicante
43020,AUDI,13500,Gasolina,2011.0,159500,180.0,5,Manual,Gris / Plata,17,True,Badajoz
43021,MINI,3900,Gasolina,2004.0,149000,90.0,3,Manual,Azul,11,True,Madrid
43022,VOLKSWAGEN,8200,Diésel,2016.0,129000,90.0,5,Manual,Blanco (0Q0Q Blanco Puro),16,True,Madrid
43024,KIA,20900,Gasolina,2019.0,5287,132.0,5,Manual,Blanco,25,True,A Coruña
