,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
1,CITROEN,6200,Gasolina,2017.0,50071,82.0,5,Manual,Blanco,6,True,Tenerife
2,FORD,7851,Diésel,2016.0,103000,100.0,4,Manual,Blanco,10,True,Barcelona
3,VOLKSWAGEN,19426,Diésel,2014.0,120000,140.0,4,Manual,Blanco,9,True,Navarra
4,FORD,22850,Diésel,2017.0,107000,130.0,2,Manual,Blanco,4,True,Sevilla
5,PEUGEOT,11490,Gasolina,2016.0,78665,130.0,5,Manual,Blanco,32,True,Madrid
6,LAND-ROVER,28500,Diésel,2017.0,36238,150.0,5,Automático,Blanco,47,True,Baleares
7,HONDA,8200,Diésel,2012.0,203000,150.0,5,Manual,Blanco,15,False,Barcelona
8,CITROEN,12100,Gasolina,2018.0,45000,110.0,5,Manual,Azul,6,False,Alicante
9,NISSAN,6300,Gasolina,2016.0,77000,80.0,5,Manual,Blanco,6,False,Barcelona
10,CITROEN,13900,Diésel,2017.0,81000,100.0,5,Manual,Gris / Plata,21,True,Murcia
12,VOLKSWAGEN,1300,Gasolina,2001.0,217000,75.0,3,Manual,Azul,1,False,Barcelona
13,MERCEDES-BENZ,6900,Gasolina,2001.0,169450,306.0,2,Automático,Gris / Plata,13,True,Málaga
14,FIAT,9500,Diésel,2017.0,101623,95.0,5,Manual,296 Blanco Gelato (pastel),22,True,Madrid
15,SKODA,13990,Gasolina,2019.0,7591,115.0,5,Manual,Gris / Plata,10,True,Madrid
17,CITROEN,4990,Gasolina,2014.0,80000,115.0,4,Manual,Gris / Plata,9,True,Las Palmas
20,FIAT,8000,Diésel,2010.0,135000,120.0,5,Manual,Granate,9,False,Navarra
21,FORD,12700,Gasolina,2018.0,53000,125.0,5,Manual,Gris / Plata,14,True,Alicante
22,CITROEN,12490,Gasolina,2019.0,13000,68.0,5,Manual,Negro,7,True,Granada
24,BMW,28900,Diésel,2020.0,5000,116.0,5,Automático,Gris / Plata (B39 Pintura metalizada Mineralgrau),4,True,Barcelona
25,OPEL,8490,Diésel,2014.0,139990,130.0,5,Manual,Gris / Plata,33,True,Madrid
26,AUDI,5000,Diésel,2006.0,222500,140.0,5,Manual,Gris / Plata,6,False,Barcelona
27,VOLVO,10890,Diésel,2009.0,214650,175.0,5,Automático,Blanco,36,True,Barcelona
28,MITSUBISHI,15300,Diésel,2016.0,67602,114.0,5,Manual,Gris / Plata,12,True,Madrid
29,FORD,12790,Gasolina,2018.0,29000,125.0,5,Manual,Gris / Plata,0,True,Madrid
30,FIAT,12800,Diésel,2016.0,60029,120.0,5,Manual,Rojo,14,True,Málaga
31,BMW,10000,Diésel,2009.0,162000,177.0,2,Automático,Blanco,25,True,Madrid
32,FORD,29300,Diésel,2019.0,11936,150.0,5,Automático,Negro,30,True,Lugo
33,RENAULT,14650,Gasolina,2019.0,14000,90.0,5,Manual,Blanco,10,True,Madrid
34,SEAT,11400,Gasolina,2017.0,28000,110.0,5,Automático,Negro,6,False,Barcelona
36,BMW,18900,Diésel,2014.0,99800,190.0,4,Automático,Azul,29,True,Asturias
37,PEUGEOT,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,Blanco (Blanco nacarado),22,True,Pontevedra
38,PEUGEOT,6750,Diésel,2015.0,215000,120.0,5,Automático,Negro,9,True,Córdoba
39,KIA,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,Cassa White (WD),6,True,Murcia
40,OPEL,9500,Diésel,2016.0,101859,120.0,5,Manual,Blanco (Sensor Parking),21,True,Madrid
41,VOLKSWAGEN,11300,Diésel,2016.0,77867,110.0,5,Manual,Z2Z2 Azul Noche (metalizado),26,True,Barcelona
42,RENAULT,9500,Gasolina,2018.0,43543,75.0,5,Manual,Gris / Plata,22,True,Barcelona
43,PEUGEOT,4200,Gasolina,2007.0,118000,110.0,3,Manual,Negro,13,True,Baleares
44,PEUGEOT,26995,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata (GRIS ARTENSE),19,True,Zaragoza
45,VOLKSWAGEN,14900,Diésel,2016.0,155000,115.0,5,Manual,Gris / Plata,9,True,León
46,OPEL,19150,Gasolina,2019.0,13871,81.0,5,Manual,Gris / Plata,25,True,A Coruña
47,SEAT,10500,Diésel,2016.0,127000,110.0,5,Manual,Blanco,27,True,Cantabria
49,SEAT,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,14,True,Toledo
50,NISSAN,7900,Gasolina,2015.0,54200,80.0,5,Manual,Blanco,2,False,Pontevedra
52,MERCEDES-BENZ,13500,Diésel,2014.0,104000,109.0,5,Automático,Blanco,42,True,Alicante
53,MERCEDES-BENZ,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,44,True,Vizcaya
55,DACIA,8399,Gasolina,2014.0,88056,125.0,5,Manual,Blanco,24,True,Sevilla
56,RENAULT,10499,Diésel,2017.0,47396,90.0,5,Manual,369 Blanco Glaciar (opaco),10,True,Sevilla
57,VOLKSWAGEN,17890,Diésel,2015.0,90000,140.0,4,Automático,Blanco,19,True,Burgos
59,MERCEDES-BENZ,44097,Diésel,2019.0,24429,163.0,4,Automático,Negro (Obsidiana),27,True,Madrid
60,RENAULT,10000,Gasolina,2008.0,180000,200.0,3,Manual,Azul,12,False,Burgos
61,VOLVO,18990,Diésel,2016.0,93000,150.0,5,Manual,Blanco,19,True,Vizcaya
62,DACIA,8500,Diésel,2014.0,202100,109.0,5,Manual,Blanco,28,True,Madrid
63,AUDI,11900,Diésel,2014.0,165999,120.0,5,Manual,Marrón,21,True,Málaga
64,PEUGEOT,11900,Diésel,2015.0,86686,120.0,5,Manual,M0VG Gris vapor (metalizado),30,True,Sevilla
66,RENAULT,16190,Gasolina,2020.0,3239,100.0,5,Manual,Marrón (MARRON VISON),17,True,Madrid
68,MERCEDES-BENZ,49900,Diésel,2019.0,200,170.0,5,Automático,Gris / Plata (PLATA IRIDIO),31,True,Badajoz
69,BMW,25400,Diésel,2017.0,36000,190.0,5,Manual,Gris / Plata,24,True,Lleida
70,OPEL,13100,Gasolina,2019.0,4553,100.0,5,Manual,GAZ Blanco Ion (sÃ³lido),30,True,Barcelona
71,VOLKSWAGEN,17990,Diésel,2013.0,159000,184.0,5,Automático,Gris / Plata (GRIS AZULADO),27,True,Madrid
72,HYUNDAI,8400,Gasolina,2012.0,107000,135.0,4,Manual,Gris / Plata,14,True,Álava
73,BMW,15500,Eléctrico,2016.0,49000,170.0,5,Automático,Blanco (blanco-negro),28,True,Madrid
74,FORD,9450,Gasolina,2018.0,37000,85.0,5,Manual,Gris / Plata (PM Pintura metalizada),33,True,Valencia
75,PEUGEOT,800,Gasolina,1998.0,120000,135.0,4,Manual,Rojo,13,False,Toledo
76,FORD,5500,Diésel,2009.0,202000,140.0,5,Manual,Gris / Plata,13,True,Málaga
77,BMW,8499,Diésel,2013.0,259000,116.0,5,Manual,Blanco,12,True,Madrid
78,BMW,48200,Gasolina,2017.0,8000,370.0,2,Automático,Azul,6,False,Madrid
79,NISSAN,10990,Diésel,2015.0,102100,110.0,5,Manual,Gris / Plata,33,True,Valencia
81,JEEP,16200,Gasolina,2018.0,45168,120.0,5,Manual,Rojo (176 Rojo Colorado),28,True,Valencia
83,VOLKSWAGEN,3400,Diésel,2006.0,272000,140.0,4,Manual,Gris / Plata,9,True,Madrid
86,SUZUKI,21200,Gasolina,2020.0,10,129.0,5,Manual,Rojo (Rojo con techo negro),12,True,La Rioja
87,OPEL,7000,Gasolina,2009.0,119000,140.0,5,Manual,Negro,5,False,Baleares
88,FIAT,4550,Gas natural (CNG),2013.0,114000,120.0,3,Manual,Blanco,35,False,Madrid
90,MERCEDES-BENZ,44600,Diésel,2021.0,0,150.0,4,Manual,Azul (Azul Demin),0,True,Sevilla
91,BMW,37200,Diésel,2019.0,35760,190.0,4,Automático,"A90 Sophistograu, efecto de brillo (metalizado)",4,True,Madrid
92,RENAULT,5500,Diésel,2012.0,300000,110.0,5,Manual,Blanco,10,True,Alicante
94,BMW,7480,Diésel,2007.0,90000,177.0,3,Manual,Beige,9,True,Barcelona
95,CITROEN,12900,Diésel,2018.0,52700,99.0,5,Manual,Blanco,20,True,Girona
96,JEEP,8999,Diésel,2005.0,199000,218.0,5,Automático,Azul,30,True,Madrid
97,SEAT,19900,Diésel,2019.0,17788,115.0,5,Manual,Blanco (negro),22,True,Córdoba
98,SEAT,4500,Diésel,2007.0,86000,80.0,3,Manual,Rojo,14,True,Asturias
99,LAND-ROVER,60190,Diésel,2019.0,0,150.0,5,Automático,Blanco,10,True,Alicante
100,MERCEDES-BENZ,89250,Gasolina,2021.0,1,390.0,5,Automático,Azul (brillante),29,True,Valencia
102,JEEP,20300,Gasolina,2020.0,1,120.0,5,Manual,Negro,20,True,Madrid
103,CHEVROLET,8500,Gasolina,2013.0,120000,124.0,5,Manual,Gris / Plata,7,False,Sevilla
104,SSANGYONG,16490,Diésel,2017.0,79900,178.0,5,Manual,Negro,30,True,Madrid
105,AUDI,2000,Diésel,2002.0,325000,130.0,5,Manual,Negro,0,False,Badajoz
106,OPEL,3500,Gasolina,2006.0,229193,170.0,3,Manual,Rojo,19,True,Toledo
107,RENAULT,31600,Diésel,2020.0,1,150.0,5,Automático,Blanco (VARIAS UNIDADES Y COLORES),12,True,Madrid
108,ABARTH,16875,Gasolina,2019.0,12000,145.0,3,Manual,Rojo (ROJO EXOTICA),22,True,Barcelona
109,MERCEDES-BENZ,32000,Diésel,2020.0,20100,116.0,4,Automático,Negro (NEGRO COSMOS),13,True,Madrid
110,OPEL,20900,Diésel,2018.0,61823,125.0,4,Manual,Marrón,16,True,Alicante
111,VOLKSWAGEN,10490,Gasolina,2006.0,148252,200.0,5,Automático,Rojo,36,True,Sevilla
112,BMW,16000,Diésel,2011.0,91000,184.0,4,Automático,Negro,9,False,Jaén
113,CITROEN,17000,Diésel,2020.0,5,102.0,5,Manual,Gris / Plata,15,True,Cádiz
114,AUDI,32900,Diésel,2018.0,11700,150.0,5,Automático,Z7Z7 Gris Cronos (metalizada),19,True,Alicante
115,AUDI,19500,Diésel,2014.0,210000,184.0,3,Manual,Blanco,12,True,Alicante
116,BMW,22900,Diésel,2017.0,70000,150.0,5,Automático,Blanco,54,True,Ciudad Real
117,SMART,14500,Eléctrico,2019.0,2000,82.0,3,Automático,Rojo,21,True,Madrid
118,VOLKSWAGEN,19500,Diésel,2015.0,58000,150.0,3,Manual,Blanco,6,False,Granada
120,JAGUAR,6490,Gasolina,2005.0,260556,298.0,4,Automático,Verde,23,True,Madrid
122,VOLKSWAGEN,17300,Diésel,2014.0,91473,140.0,5,Automático,Gris / Plata (*LRO*),37,True,Navarra
123,MERCEDES-BENZ,14500,Diésel,2007.0,175000,224.0,5,Automático,Gris / Plata,12,False,Alicante
124,AUDI,7490,Diésel,2012.0,220000,105.0,5,Manual,Blanco,16,True,Madrid
125,MERCEDES-BENZ,30000,Diésel,2018.0,14000,136.0,5,Manual,Azul,11,False,Madrid
126,OPEL,21400,Gasolina,2019.0,1,145.0,5,Manual,Azul,6,True,Barcelona
128,MERCEDES-BENZ,4999,Gasolina,2002.0,160000,170.0,2,Automático,Gris / Plata,1,True,Alicante
130,OPEL,5850,Diésel,2008.0,159000,120.0,5,Manual,Gris / Plata,9,True,Ávila
131,AUDI,17350,Diésel,2016.0,57054,110.0,5,Manual,Blanco (T9T9 Blanco Ibis),21,True,Tarragona
132,RENAULT,3500,Diésel,2007.0,140000,70.0,5,Manual,Blanco,8,False,Madrid
133,OPEL,9900,Diésel,2016.0,58000,120.0,5,Automático,Blanco,10,True,Girona
134,OPEL,8300,Diésel,2016.0,173707,136.0,5,Manual,Azul,18,True,Zaragoza
135,PEUGEOT,16800,Diésel,2018.0,29000,120.0,5,Manual,Blanco (NACARADO),13,True,Orense
136,RENAULT,2800,Diésel,2006.0,134000,130.0,5,Manual,Gris / Plata,5,False,Cádiz
137,SEAT,7900,Diésel,2016.0,156980,115.0,5,Manual,Blanco,20,True,Asturias
138,DACIA,8990,Diésel,2014.0,119500,109.0,5,Manual,Blanco,29,True,Málaga
139,VOLKSWAGEN,16999,Diésel,2011.0,146000,102.0,4,Manual,Amarillo (Blanco y amarillo ),8,True,Cádiz
140,PEUGEOT,10710,Diésel,2016.0,87100,120.0,5,Manual,Gris / Plata (plata),15,True,Zaragoza
143,PEUGEOT,35375,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,12,True,Toledo
144,TOYOTA,10900,Gasolina,2020.0,12750,69.0,5,Manual,Blanco,20,True,Barcelona
146,KIA,7500,Gasolina,2015.0,100000,84.0,5,Manual,Blanco,6,False,Madrid
147,VOLKSWAGEN,14900,Gasolina,2019.0,19420,95.0,5,Manual,4M4M Naranja Calatea (metalizado),10,True,Girona
149,PEUGEOT,33835,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata,31,True,Valencia
150,OPEL,9750,Gasolina,2016.0,85000,125.0,5,Manual,Blanco,8,False,Navarra
151,AUDI,21490,Gasolina,2017.0,79999,150.0,5,Manual,Blanco,31,True,Valencia
153,HONDA,7650,Diésel,2010.0,185700,150.0,5,Manual,Gris / Plata (Gris),46,True,Madrid
154,KIA,10900,Diésel,2016.0,54327,90.0,5,Manual,Gris / Plata,7,True,Córdoba
155,FIAT,2700,Diésel,2013.0,240000,95.0,5,Manual,Beige,4,False,Barcelona
156,FIAT,12450,Diésel,2018.0,41844,120.0,5,Manual,Marrón,48,True,Valencia
158,BMW,8800,Diésel,2009.0,219000,177.0,2,Manual,Negro,9,False,Valencia
159,VOLKSWAGEN,5500,Diésel,2009.0,107000,70.0,5,Manual,Negro,12,True,Murcia
160,VOLKSWAGEN,16900,Diésel,2017.0,88905,115.0,5,Automático,Gris / Plata (GRIS OSCURO),30,True,Murcia
161,VOLVO,3333,Diésel,2002.0,400000,163.0,4,Manual,Gris / Plata,10,False,La Rioja
162,CITROEN,21900,Diésel,2018.0,13638,120.0,5,Manual,Rojo,21,True,Barcelona
164,BMW,8890,Diésel,2006.0,210973,272.0,4,Automático,Gris / Plata,22,True,Alicante
165,MERCEDES-BENZ,15000,Diésel,2013.0,47000,109.0,5,Automático,Blanco,10,False,Córdoba
166,BMW,28900,Diésel,2017.0,55962,190.0,4,Manual,"A90 Sophistograu, efecto de brillo (metalizado)",20,True,Ávila
167,VOLKSWAGEN,10910,Diésel,2016.0,80743,102.0,4,Manual,Blanco (BLANCO),14,True,Madrid
168,FORD,2200,Diésel,2006.0,280000,115.0,3,Manual,Gris / Plata,17,True,Valencia
169,SEAT,13850,Gasolina,2019.0,74000,130.0,5,Manual,Blanco (MET Pintura metalizada),26,True,Valencia
171,AUDI,59900,Diésel,2018.0,40000,272.0,5,Automático,"(( NACIONAL, S-LINE, LLANTA 22"", FULL ))",54,True,Madrid
172,TOYOTA,12500,Híbrido,2016.0,85000,136.0,5,Automático,Gris / Plata,14,True,Madrid
173,FIAT,6750,Diésel,2014.0,114563,90.0,5,Manual,Granate,12,False,Valencia
174,NISSAN,20300,Diésel,2018.0,10000,130.0,5,Manual,Azul,11,True,Sevilla
175,CHEVROLET,5490,Gasolina,2009.0,121300,101.0,4,Automático,Gris / Plata,30,True,Alicante
176,BMW,16950,Diésel,2015.0,85000,143.0,5,Manual,Blanco,14,False,Girona
177,VOLVO,3900,Diésel,2005.0,195000,109.0,4,Manual,Azul,8,True,Madrid
179,SEAT,2500,Diésel,2007.0,206000,70.0,5,Manual,Amarillo,6,False,Barcelona
180,VOLKSWAGEN,2900,Gasolina,2000.0,136000,105.0,3,Manual,Gris / Plata,27,True,Barcelona
181,PEUGEOT,10600,Diésel,2017.0,91616,75.0,5,Manual,Gris / Plata,14,True,Pontevedra
183,SSANGYONG,22800,Gasolina,2020.0,20,163.0,5,Manual,Negro,16,True,León
184,VOLKSWAGEN,18500,Gasolina,2017.0,70000,125.0,3,Manual,Azul,6,False,Madrid
185,SEAT,7290,Gasolina,2015.0,44000,110.0,5,Manual,Azul,8,True,Las Palmas
186,HYUNDAI,5499,Diésel,2008.0,159999,155.0,5,Manual,Blanco,13,True,Barcelona
188,KIA,7900,Diésel,2015.0,169000,90.0,5,Manual,Blanco,28,True,A Coruña
189,VOLKSWAGEN,15990,Gasolina,2018.0,82000,115.0,5,Manual,Blanco,19,True,Madrid
191,HYUNDAI,25750,Diésel,2020.0,18,116.0,5,Manual,"Beige (PLATA, NEGRO, BLANCO, DORADO)",19,True,Alicante
192,OPEL,16900,Gasolina,2019.0,57000,140.0,5,Manual,Blanco,29,True,Málaga
193,VOLKSWAGEN,15400,Gasolina,2017.0,65000,125.0,5,Automático,Rojo,6,True,Málaga
194,HONDA,2000,Diésel,2007.0,220000,140.0,5,Manual,Blanco,7,False,Huelva
195,BMW,19800,Diésel,2013.0,159000,177.0,5,Manual,Beige,6,False,Asturias
196,BMW,23990,Diésel,2013.0,109990,313.0,4,Automático,Negro,41,True,Valencia
197,PORSCHE,410000,Gasolina,2019.0,150,510.0,2,Manual,Gris / Plata,12,True,Girona
198,SEAT,500,Gasolina,2005.0,159000,75.0,4,Manual,Blanco,0,False,Las Palmas
199,BMW,55490,Diésel,2018.0,26391,258.0,5,Automático,Gris / Plata,40,True,Madrid
202,FORD,8500,Diésel,2016.0,160000,120.0,5,Manual,Gris / Plata,12,True,Cádiz
203,CITROEN,2950,Gasolina,2006.0,136377,125.0,5,Manual,Rojo,9,True,Madrid
205,FORD,5900,Diésel,2015.0,141000,95.0,5,Manual,Blanco,14,False,Madrid
206,SUZUKI,3300,Gasolina,2008.0,123000,92.0,5,Manual,Azul,35,True,Jaén
207,CITROEN,16499,Diésel,2018.0,37000,115.0,4,Manual,Blanco,12,True,Málaga
209,CITROEN,26750,Diésel,2021.0,0,131.0,5,Manual,Gris / Plata,22,True,Albacete
210,BMW,2500,Diésel,2001.0,283400,136.0,4,Manual,Negro,4,False,Guipúzcoa
211,FIAT,18750,Diésel,2020.0,5,140.0,4,Manual,Blanco,15,True,Asturias
212,FIAT,9500,Gasolina,2018.0,30000,69.0,3,Manual,Blanco,14,True,Barcelona
214,AUDI,11000,Diésel,2011.0,90000,90.0,3,Automático,Negro,54,True,Castellón
215,TOYOTA,11200,Híbrido,2014.0,84822,136.0,5,Automático,040 Blanco Classic (sÃ³lido),28,True,Barcelona
216,VOLKSWAGEN,12500,Diésel,2017.0,47000,110.0,5,Manual,Gris / Plata,4,False,Alicante
217,FORD,4700,Diésel,2005.0,190000,109.0,5,Manual,Negro,2,True,Valencia
218,PEUGEOT,3900,Diésel,2010.0,178000,70.0,5,Manual,Rojo,15,True,Almería
219,BMW,29100,Diésel,2017.0,52550,190.0,2,Automático,Negro,10,True,Guadalajara
220,TOYOTA,12500,Híbrido,2016.0,43987,100.0,5,Automático,Rojo,19,True,Barcelona
221,SUZUKI,25900,Gasolina,2020.0,8200,102.0,3,Manual,Blanco,5,False,Asturias
222,PORSCHE,117999,Gasolina,2020.0,5999,385.0,2,Automático,Negro,17,True,Girona
223,NISSAN,20900,Gasolina,2019.0,12000,140.0,5,Manual,Gris / Plata,20,True,Pontevedra
224,RENAULT,8990,Diésel,2017.0,127000,75.0,5,Manual,Blanco,35,True,Madrid
225,JEEP,37500,Híbrido enchufable,2020.0,100,190.0,5,Automático,Azul,54,True,Huesca
226,SEAT,17900,Diésel,2018.0,72000,115.0,5,Manual,Blanco,33,True,Teruel
228,PEUGEOT,650,Gasolina,1991.0,307000,94.0,5,Manual,Rojo,9,False,Madrid
230,VOLKSWAGEN,17299,Diésel,2017.0,54478,115.0,5,Automático,Gris / Plata,27,True,Barcelona
231,BMW,19950,Gasolina,2010.0,134000,204.0,2,Manual,Azul,25,False,La Rioja
233,OPEL,21990,Gasolina,2020.0,10,130.0,5,Manual,Blanco,15,True,Vizcaya
234,MERCEDES-BENZ,10800,Diésel,2008.0,84754,150.0,3,Manual,Negro (*BAR*),33,True,Navarra
235,FIAT,10000,Diésel,2014.0,340000,148.0,4,Manual,Blanco,1,False,Córdoba
238,HYUNDAI,11100,Gasolina,2020.0,8984,75.0,5,Manual,Rojo (TOMATO RED),26,True,Barcelona
239,VOLKSWAGEN,19500,Diésel,2016.0,90000,150.0,5,Manual,Gris / Plata,11,True,Lleida
240,FORD,9500,Gasolina,1982.0,153000,101.0,2,Manual,Blanco,12,False,Navarra
241,PEUGEOT,25990,Diésel,2019.0,22200,130.0,5,Automático,Gris / Plata,54,True,Valladolid
242,BMW,19850,Diésel,2016.0,72000,150.0,5,Automático,Blanco,11,True,Barcelona
244,PORSCHE,83000,Gasolina,2011.0,86000,500.0,2,Automático,Gris / Plata,45,True,Vizcaya
245,FORD,9000,Diésel,2017.0,95000,120.0,5,Manual,Blanco,8,True,Sevilla
246,VOLVO,19900,Gasolina,2018.0,25961,122.0,5,Manual,Blanco,25,True,Badajoz
247,RENAULT,10900,Diésel,2016.0,94000,110.0,5,Manual,Blanco,22,True,Valencia
248,PEUGEOT,21950,Diésel,2017.0,99950,163.0,2,Manual,Azul,24,True,Sevilla
249,AUDI,14400,Diésel,2016.0,39611,90.0,3,Manual,Blanco,8,True,Barcelona
251,HYUNDAI,19990,Gasolina,2019.0,20877,140.0,5,Automático,Azul (Azul Oscuro),45,True,Madrid
252,CITROEN,4800,Diésel,2005.0,170780,109.0,5,Automático,Verde,10,True,Málaga
253,VOLKSWAGEN,6600,Diésel,2008.0,150000,75.0,4,Manual,Blanco,9,True,Zaragoza
255,RENAULT,5900,Diésel,2015.0,140000,75.0,3,Manual,Blanco,12,True,Valencia
256,MERCEDES-BENZ,26900,Diésel,2016.0,57000,170.0,5,Automático,Azul,27,True,Barcelona
258,BMW,16690,Diésel,2016.0,128000,150.0,5,Manual,Azul,41,True,Madrid
259,BMW,22500,Diésel,2011.0,112752,245.0,5,Automático,Blanco (*BAR*),34,True,Castellón
260,BMW,15990,Diésel,2016.0,84000,116.0,5,Manual,Blanco,17,True,Madrid
261,CITROEN,42461,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,4,True,Tarragona
262,OPEL,19400,Diésel,2020.0,7,102.0,5,Manual,Gris / Plata,17,True,Sevilla
263,MERCEDES-BENZ,2490,Diésel,1997.0,280000,150.0,5,Automático,Verde,7,True,Cantabria
264,CITROEN,10660,Gasolina,2015.0,102143,130.0,5,Manual,Negro (NEGRO),15,True,Vizcaya
266,RENAULT,4600,Diésel,2010.0,202492,90.0,5,Manual,Negro,6,False,Tenerife
268,KIA,13000,Gasolina,2018.0,56000,120.0,5,Manual,Blanco,5,False,Pontevedra
269,BMW,17000,Diésel,2017.0,117000,116.0,5,Automático,Azul (Azul oscuro),42,True,Madrid
271,MERCEDES-BENZ,67500,Diésel,2020.0,14382,245.0,5,Automático,Negro,14,True,Valencia
272,OPEL,11560,Diésel,2017.0,58000,120.0,5,Manual,Gris / Plata,31,True,Valencia
273,CITROEN,26100,Diésel,2019.0,0,131.0,5,Manual,Negro,10,True,Madrid
274,AUDI,25900,Diésel,2017.0,54000,150.0,5,Automático,Blanco,22,True,Castellón
275,AUDI,39900,Diésel,2019.0,20000,163.0,5,Automático,L5L5 Plata Florete (metalizado),20,True,Asturias
276,FORD,6500,Diésel,2007.0,46173,130.0,5,Manual,Gris / Plata,9,False,Barcelona
278,HYUNDAI,21700,Gasolina,2019.0,5400,140.0,5,Manual,Blanco (POLAR WHITE),12,True,Valencia
279,CITROEN,6000,Diésel,2011.0,76214,150.0,5,Automático,Blanco,35,True,Badajoz
280,RENAULT,17490,Diésel,2017.0,37200,130.0,5,Manual,Negro (Símil cuero/tejido negro),27,True,Madrid
282,VOLKSWAGEN,15999,Gasolina,2011.0,163759,210.0,5,Automático,Negro,35,True,Granada
283,AUDI,6900,Gasolina,2006.0,139000,130.0,4,Manual,Gris / Plata,38,True,Salamanca
284,NISSAN,9500,Diésel,2015.0,27000,110.0,5,Manual,Gris / Plata,9,False,Barcelona
285,FORD,16500,Diésel,2019.0,16500,120.0,5,Manual,Negro,12,True,Madrid
286,FIAT,10300,Diésel,2017.0,69300,95.0,5,Manual,Granate,17,True,Murcia
289,TOYOTA,20900,Híbrido,2017.0,85000,122.0,5,Automático,Negro,4,False,Madrid
290,FIAT,12750,Gasolina,2019.0,25794,69.0,2,Automático,Blanco,16,True,Baleares
292,BMW,20990,Diésel,2015.0,69000,190.0,5,Manual,Gris / Plata (plomo),15,True,Álava
293,AUDI,5500,Diésel,2006.0,341000,140.0,5,Manual,Azul,8,True,Salamanca
294,BMW,3000,Gasolina,2001.0,220000,170.0,4,Manual,Azul,15,False,Barcelona
296,AUDI,22900,Gasolina,2019.0,21000,116.0,5,Manual,Negro,14,True,Barcelona
297,BMW,14250,Diésel,2016.0,85000,116.0,5,Manual,Blanco,11,True,Sevilla
298,CITROEN,10000,Diésel,2011.0,104000,140.0,5,Manual,Gris / Plata,28,True,Barcelona
299,MINI,9500,Diésel,2011.0,155000,90.0,5,Manual,Light White (sólido),17,True,Madrid
300,MERCEDES-BENZ,22950,Diésel,2017.0,103481,177.0,5,Automático,Blanco,17,True,Barcelona
301,NISSAN,28088,Gasolina,2020.0,10,160.0,5,Automático,Negro (Textil N-Connecta color negro),30,True,Madrid
302,BMW,24500,Diésel,2019.0,13009,116.0,5,Manual,Negro (475 Pintura metalizada Saphirschwarz),13,True,Orense
303,MITSUBISHI,37400,Híbrido enchufable,2019.0,30000,224.0,5,Automático,Blanco,34,True,Madrid
304,BMW,19900,Diésel,2015.0,120000,190.0,4,Automático,Azul,21,True,Murcia
305,NISSAN,11699,Diésel,2017.0,27232,110.0,5,Manual,Negro,15,True,Barcelona
306,VOLVO,39895,Diésel,2020.0,7,190.0,5,Automático,"Negro (BLACK STONE, SOLID)",21,True,Madrid
307,FIAT,4537,Diésel,2013.0,162000,90.0,3,Manual,Blanco,24,True,Madrid
308,MERCEDES-BENZ,26500,Diésel,2016.0,59395,170.0,4,Automático,Gris / Plata,15,True,Barcelona
309,SEAT,11800,Diésel,2016.0,128000,150.0,5,Manual,Gris / Plata,13,True,Ciudad Real
310,NISSAN,14000,Diésel,2015.0,50000,110.0,5,Manual,Azul,8,True,León
313,MITSUBISHI,16990,Diésel,2017.0,126000,154.0,4,Manual,Blanco,31,True,Vizcaya
314,VOLKSWAGEN,8989,Diésel,2013.0,84000,105.0,3,Manual,Blanco,19,True,Tarragona
315,CHEVROLET,12900,Gasolina,2003.0,174927,285.0,4,Automático,Beige,37,True,Madrid
316,VOLKSWAGEN,13200,Diésel,2012.0,189000,140.0,5,Manual,Azul,12,False,Murcia
318,VOLVO,71900,Gasolina,2019.0,0,310.0,5,Automático,Gris / Plata (Plata),5,True,Baleares
319,AUDI,6300,Diésel,2006.0,227000,140.0,4,Automático,Negro,10,False,Albacete
320,NISSAN,13500,Gasolina,2018.0,5500,94.0,5,Manual,Rojo,21,True,Málaga
321,PEUGEOT,3000,Gasolina,2007.0,173000,90.0,5,Manual,Blanco,8,False,Barcelona
322,FORD,2200,Diésel,2007.0,180000,115.0,5,Manual,Naranja,15,True,Sevilla
323,KIA,11899,Gasolina,2019.0,20450,84.0,5,Manual,Rojo (Tela Negra),25,True,Madrid
325,VOLKSWAGEN,18900,Diésel,2017.0,63000,150.0,2,Manual,Rojo,11,True,Barcelona
326,MERCEDES-BENZ,57900,Híbrido enchufable,2021.0,10,306.0,5,Manual,Gris / Plata (Gris Selenita),30,True,Málaga
327,FORD,3100,Gasolina,2012.0,100000,80.0,5,Manual,Rojo,11,False,Madrid
328,OPEL,8990,Diésel,2017.0,120000,95.0,5,Manual,Blanco,34,True,Guipúzcoa
329,CITROEN,23700,Gasolina,2020.0,5,131.0,5,Manual,Blanco,15,True,Albacete
330,SEAT,7490,Diésel,2016.0,168000,110.0,5,Manual,Blanco,32,True,Madrid
